Date,c1,c2,A,B,switch,c1_ret,c2_ret,rollex_ret,rollex_px
2023-05-25,182.7,180.65,1,0,0,-0.028191489361702238,-0.027456258411843848,-0.028191489361702238,148.21380165812786
2023-05-26,181.6,179.55,1,0,0,-0.006020799124247356,-0.006089122612787157,-0.006020799124247356,147.32143613090324
2023-05-30,177.1,174.85,1,0,0,-0.024779735682819437,-0.026176552492342076,-0.024779735682819437,143.6708498831661
2023-05-31,178.65,175.85,1,0,0,0.008752117447769603,0.005719187875321774,0.008752117447769603,144.92827403516443
2023-06-01,183.05,180.25,1,0,0,0.02462916316820607,0.02502132499289167,0.02462916316820607,148.49773614406297
2023-06-02,180.3,177.7,1,0,0,-0.01502321770008197,-0.014147018030513214,-0.01502321770008197,146.26682232600137
2023-06-05,183.1,180.2,1,0,0,0.015529672767609526,0.014068655036578503,0.015529672767609526,148.53829821348225
2023-06-06,182.6,179.55,0,1,0,-0.002730748225013624,-0.0036071032186457685,-0.0036071032186457685,148.00250523990422
2023-06-07,185.4,181.7,0,1,0,0.01533406352683464,0.01197438039543286,0.01197438039543286,149.7747435371239
2023-06-08,194.85,190.35,0,1,0,0.05097087378640763,0.047605943863511246,0.047605943863511246,156.904911570124
2023-06-09,190.65,186.65,0,1,0,-0.021555042340261732,-0.019437877593905917,-0.019437877593905917,153.85501310514132
2023-06-12,185.55,181.5,0,1,0,-0.02675059008654601,-0.02759174926332708,-0.02759174926332708,149.60988416063836
2023-06-13,182.75,178.7,0,1,0,-0.015090272163837293,-0.015426997245179153,-0.015426997245179153,147.3018528898406
2023-06-14,184.4,180.15,0,1,0,0.009028727770177936,0.008114157806379474,0.008114157806379474,148.4970833693609
2023-06-15,187.0,182.95,0,1,0,0.014099783080260275,0.015542603386067055,0.015542603386067055,150.8051146401586
2023-06-16,184.9,180.75,0,1,0,-0.011229946524064172,-0.012025143481825595,-0.012025143481825595,148.99166149881754
2023-06-20,177.45,176.1,0,1,0,-0.04029204975662526,-0.025726141078838194,-0.025726141078838194,145.15868099552844
2023-06-21,172.0,172.25,0,1,0,-0.03071287686672297,-0.021862578080635964,-0.021862578080635964,141.98513799818156
2023-06-22,171.7,170.25,0,1,0,-0.0017441860465117198,-0.011611030478954953,-0.011611030478954953,140.33654423332607
2023-06-23,168.05,164.85,0,1,0,-0.021258008153756447,-0.03171806167400881,-0.03171806167400881,135.88534106821615
2023-06-26,167.95,165.15,0,1,0,-0.0005950609937519502,0.0018198362147407998,0.0018198362147407998,136.13263013294448
